Ticket #,Symbol,Volume,Date,Sold,Bought,Floating P/L,Markups (pips),Comm,Dividends,Rollover,Net P/L,Condition,Created By
24503069,GBP/USD,"5,000",11/30/15 3:56 AM,,1.5015,-966.25,0.5,0,0,-542.36,"-1,508.61",LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
24567644,GBP/USD,"5,000",11/24/15 8:10 AM,,1.5075,-996.25,0.5,0,0,-542.2,"-1,538.45",LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
24665354,EUR/GBP,"5,000",12/3/15 14:33,0.72501,,-942.14,0.3,0,0,340.31,-601.83,LE,98054425
,,,4/11/25 17:43,,0.86897,,,,,,,,
24838562,GBP/USD,"5,000",11/23/15 6:32 AM,,1.513,"-1,023.75",0.5,0,0,-542.17,"-1,565.92",LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
25238052,GBP/USD,"5,000",12/2/15 09:52,,1.49699,-943.7,0.5,0,0,-542.42,"-1,486.12",LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
25492662,GBP/USD,"5,000",12/4/15 02:38,,1.509,"-1,003.75",0.5,0,0,-542.53,"-1,546.28",LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
25751222,EUR/GBP,"5,000",1/7/16 14:34,0.74701,,-798.16,0.3,0,0,337.79,-460.37,LE,98054425
,,,4/11/25 17:43,,0.86897,,,,,,,,
27573630,GBP/CHF,"5,000",2/4/16 11:56,,1.447,"-2,352.42",0.4,0,0,695.25,"-1,657.17",LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
32198780,GBP/USD,"5,000",6/21/16 1:41 AM,,1.47292,-823.35,0,0,0,-534.22,"-1,357.57",SE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
32232485,GBP/USD,"5,000",6/22/16 5:29 PM,,1.48176,-867.55,0,0,0,-534.15,"-1,401.70",SE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
32329072,GBP/USD,"5,000",6/23/16 9:08 PM,,1.41384,-527.95,0,0,0,-534.06,"-1,062.01",LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
40209583,GBP/CHF,"5,000",5/9/17 10:38,,1.30029,"-1,452.44",0,0,0,632.76,-819.68,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
44016139,GBP/CHF,"5,000",1/12/18 08:30,,1.32542,"-1,606.60",0.7,0,0,600.96,"-1,005.64",SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
45986605,GBP/CHF,"5,000",5/29/18 4:02 AM,,1.31517,"-1,543.72",1,0,0,579.29,-964.43,LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
46567717,GBP/CHF,"5,000",7/18/18 5:43 AM,,1.3045,"-1,478.27",1,0,0,571.9,-906.37,LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
48450246,GBP/CHF,"10,000",12/7/18 13:52,,1.26064,"-2,418.43",1,0,0,"1,091.91","-1,326.52",LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
52403685,EUR/JPY,"5,000",6/4/20 10:29,122.932,,"-1,399.61",0.8,0,0,-594.73,"-1,994.34",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
52403707,EUR/JPY,"5,000",8/12/20 06:11,125.743,,"-1,301.66",0.8,0,0,-597.18,"-1,898.84",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
52833169,GBP/CHF,"5,000",10/17/19 5:35 AM,,1.28286,"-1,345.52",1,0,0,492.51,-853.01,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
52838602,GBP/CHF,"5,000",10/21/19 4:10 AM,,1.27793,"-1,315.28",1,0,0,492.19,-823.09,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
52874430,GBP/CHF,"5,000",10/22/19 2:19 PM,,1.28443,"-1,355.15",1,0,0,492.03,-863.12,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
52887466,GBP/CHF,"5,000",10/22/19 6:53 AM,,1.2819,"-1,339.63",1,0,0,492.03,-847.6,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
52907082,EUR/CHF,"10,000",5/18/20 1:13 PM,,1.06554,"-1,726.34",0.9,0,0,382.55,"-1,343.79",SE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
53482219,GBP/CHF,"5,000",1/7/20 03:29,,1.27849,"-1,318.71",1,0,0,479.96,-838.75,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
53482222,GBP/CHF,"5,000",1/7/20 03:24,,1.27743,"-1,312.21",1,0,0,479.96,-832.25,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
53531297,EUR/JPY,"5,000",6/4/20 10:53,123.64,,"-1,374.94",0.8,0,0,-594.73,"-1,969.67",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
53576191,GBP/CHF,"5,000",1/16/20 10:52 AM,,1.25989,"-1,204.61",1,0,0,478.11,-726.5,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
53639259,GBP/CHF,"5,000",2/14/20 1:47 AM,,1.27965,"-1,325.83",1,0,0,473,-852.83,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
54089251,EUR/CHF,"5,000",5/18/20 1:13 PM,,1.06361,-851.33,0.9,0,0,191.19,-660.14,SE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
54148525,EUR/CHF,"5,000",3/20/20 6:40 AM,,1.05399,-792.32,0.9,0,0,190.98,-601.34,LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
54244506,EUR/CHF,"5,000",4/14/20 11:38 AM,,1.0537,-790.54,0.9,0,0,191.93,-598.61,LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
54376846,EUR/CHF,"5,000",4/21/20 3:39 PM,,1.0532,-787.47,0.9,0,0,191.84,-595.63,SE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
54690848,EUR/JPY,"5,000",8/13/20 6:24 AM,126.548,,"-1,273.61",0.8,0,0,-597.31,"-1,870.92",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
54970241,EUR/JPY,"5,000",7/15/20 10:57 AM,121.965,,"-1,433.31",0.8,0,0,-596.08,"-2,029.39",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
54970439,EUR/JPY,"5,000",7/19/20 8:54 PM,122.75,,"-1,405.96",0.8,0,0,-596.27,"-2,002.23",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
55780077,EUR/JPY,"5,000",12/1/20 10:55,125.785,,"-1,300.20",0.8,0,0,-601.25,"-1,901.45",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
56131955,GBP/CHF,"5,000",2/1/21 03:32,,1.22684,"-1,001.87",1,0,0,439.53,-562.34,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
56233228,EUR/JPY,"5,000",1/28/21 3:23 AM,126.278,,"-1,283.02",0.8,0,0,-603.97,"-1,886.99",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
56243619,USD/CHF,"5,000",1/28/21 4:00 PM,,0.88847,-457.23,0.6,0,0,385.82,-71.41,SE,98054425
,,,4/11/25 17:43,0.81403,,,,,,,,,
56254213,EUR/JPY,"5,000",2/12/21 00:59,127.22,,"-1,250.20",0.8,0,0,-604.9,"-1,855.10",LE,98054425
,,,4/11/25 17:43,,163.098,,,,,,,,
56422544,EUR/CHF,"5,000",3/3/21 17:00,,1.1104,"-1,138.36",0.9,0,0,185.47,-952.89,SE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
56484372,GBP/CHF,"5,000",3/29/21 7:15 AM,,1.30049,"-1,453.67",0.1,0,0,433.84,"-1,019.83",SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
56525162,GBP/CHF,"5,000",4/1/21 05:15,,1.30558,"-1,484.89",0.1,0,0,433.11,"-1,051.78",SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
56640788,GBP/CHF,"5,000",3/31/21 1:32 PM,,1.30242,"-1,465.51",1,0,0,433.65,"-1,031.86",SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
56649649,GBP/CHF,"5,000",12/22/21 5:53 AM,,1.22991,"-1,020.70",0,0,0,407.39,-613.31,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
56649652,GBP/CHF,"5,000",4/1/21 10:09,,1.3064,"-1,489.92",1,0,0,433.11,"-1,056.81",SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
56982030,GBP/CHF,"5,000",6/23/21 3:17 AM,,1.28376,"-1,351.04",0,0,0,424.79,-926.25,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
57117220,GBP/CHF,"5,000",6/23/21 3:22 AM,,1.28423,"-1,353.92",0,0,0,424.79,-929.13,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
57431380,GBP/CHF,"5,000",8/23/21 6:03 AM,,1.25362,"-1,166.15",0,0,0,418.91,-747.24,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
57645139,GBP/USD,"5,000",10/5/21 12:16,,1.36432,-280.35,0.4,0,0,-94.28,-374.63,SE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
57649451,EUR/CHF,"5,000",4/19/22 8:58 PM,,1.029,-639.02,0,0,0,181.66,-457.36,SE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
57676225,EUR/CHF,"10,000",10/14/21 12:42 AM,,1.0705,"-1,787.20",0,0,0,362.64,"-1,424.56",LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
57706905,EUR/CHF,"10,000",10/21/21 5:35 AM,,1.06995,"-1,780.45",0,0,0,362.38,"-1,418.07",LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
57721655,GBP/CHF,"5,000",10/21/21 5:33 AM,,1.26778,"-1,253.01",0,0,0,413.02,-839.99,LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
57742978,USD/CHF,"10,000",4/12/23 08:30,,0.89996,"-1,055.61",0.7,0,0,515.09,-540.52,LE,98054425
,,,4/11/25 17:43,0.81403,,,,,,,,,
57742993,GBP/USD,"5,000",11/1/21 03:07,,1.36598,-288.65,0.4,0,0,-93.69,-382.34,LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
57747514,EUR/CHF,"5,000",10/27/21 3:49 AM,,1.06497,-859.68,0,0,0,181.16,-678.52,LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
57834151,GBP/CHF,"5,000",11/10/21 04:19,,1.23449,"-1,048.80",0,0,0,410.96,-637.84,LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
58115620,GBP/CHF,"5,000",12/16/21 11:42 AM,,1.2288,"-1,013.89",0,0,0,407.79,-606.1,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
58209589,EUR/CHF,"5,000",1/24/22 4:45 AM,,1.032,-657.42,0,0,0,180.69,-476.73,LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
58209594,USD/JPY,"5,000",3/16/22 2:00 PM,118.771,,-862.85,0.5,0,0,-939.82,"-1,802.67",LE,98054425
,,,4/11/25 17:43,,143.542,,,,,,,,
58209615,GBP/CHF,"5,000",1/24/22 7:27 AM,,1.23,"-1,021.26",0,0,0,404.34,-616.92,LE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
58269389,EUR/CHF,"5,000",1/18/22 10:52 AM,,1.03998,-706.38,0,0,0,180.74,-525.64,LE,98054425
,,,4/11/25 17:43,0.92483,,,,,,,,,
58281709,GBP/USD,"5,000",1/18/22 7:01 AM,,1.35992,-258.35,0.4,0,0,-91.99,-350.34,LE,98054425
,,,4/11/25 17:43,1.30825,,,,,,,,,
58603103,GBP/CHF,"5,000",3/10/22 08:57,,1.22511,-991.26,0,0,0,398.7,-592.56,SE,98054425
,,,4/11/25 17:43,1.06352,,,,,,,,,
